granule_id,product_id,datatake_identifier,mgrs_tile,sensing_time,geometric_quality_flag,generation_time,north_lat,south_lat,west_lon,east_lon,base_url,total_size,cloud_cover
L1C_T53HPA_A009137_20181206T004701,S2B_MSIL1C_20181206T004659_N0207_R102_T53HPA_20181206T020409,GS2B_20181206T004659_009137_N02.07,53HPA,2018-12-06 00:56:57.890000+00:00,,2018-12-06T02:04:09.000000Z,-35.2210369081,-36.0707909159,136.098930559,137.329581947,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20181206T004659_N0207_R102_T53HPA_20181206T020409.SAFE,494776967,46.2662
L1C_T53HPA_A018117_20181211T004658,S2A_MSIL1C_20181211T004701_N0207_R102_T53HPA_20181211T021025,GS2A_20181211T004701_018117_N02.07,53HPA,2018-12-11 00:56:56.980000+00:00,,2018-12-11T02:10:25.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20181211T004701_N0207_R102_T53HPA_20181211T021025.SAFE,711288677,71.4546
L1C_T53HPA_A018260_20181221T004658,S2A_MSIL1C_20181221T004701_N0207_R102_T53HPA_20181221T021141,GS2A_20181221T004701_018260_N02.07,53HPA,2018-12-21 00:56:56.910000+00:00,,2018-12-21T02:11:41.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20181221T004701_N0207_R102_T53HPA_20181221T021141.SAFE,804170416,54.9628
L1C_T53HPA_A009423_20181226T004702,S2B_MSIL1C_20181226T004659_N0207_R102_T53HPA_20181226T020354,GS2B_20181226T004659_009423_N02.07,53HPA,2018-12-26 00:57:01.700000+00:00,,2018-12-26T02:03:54.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20181226T004659_N0207_R102_T53HPA_20181226T020354.SAFE,743584777,0.0
L1C_T53HPA_A018403_20181231T004700,S2A_MSIL1C_20181231T004701_N0207_R102_T53HPA_20181231T021140,GS2A_20181231T004701_018403_N02.07,53HPA,2018-12-31 00:56:59.090000+00:00,,2018-12-31T02:11:40.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20181231T004701_N0207_R102_T53HPA_20181231T021140.SAFE,741990843,0.0
L1C_T53HPA_A009566_20190105T004704,S2B_MSIL1C_20190105T004709_N0207_R102_T53HPA_20190105T020406,GS2B_20190105T004709_009566_N02.07,53HPA,2019-01-05 00:57:03.540000+00:00,,2019-01-05T02:04:06.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190105T004709_N0207_R102_T53HPA_20190105T020406.SAFE,799217546,12.5693
L1C_T53HPA_A009709_20190115T005642,S2B_MSIL1C_20190115T004709_N0207_R102_T53HPA_20190115T020358,GS2B_20190115T004709_009709_N02.07,53HPA,2019-01-15 00:57:04.790000+00:00,,2019-01-15T02:03:58.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190115T004709_N0207_R102_T53HPA_20190115T020358.SAFE,674204981,31.6484
L1C_T53HPA_A018689_20190120T004702,S2A_MSIL1C_20190120T004701_N0207_R102_T53HPA_20190120T021332,GS2A_20190120T004701_018689_N02.07,53HPA,2019-01-20 00:57:01+00:00,,2019-01-20T02:13:32.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190120T004701_N0207_R102_T53HPA_20190120T021332.SAFE,748638223,0.0096
L1C_T53HPA_A018832_20190130T004703,S2A_MSIL1C_20190130T004701_N0207_R102_T53HPA_20190130T021623,GS2A_20190130T004701_018832_N02.07,53HPA,2019-01-30 00:57:02+00:00,,2019-01-30T02:16:23.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190130T004701_N0207_R102_T53HPA_20190130T021623.SAFE,699614435,15.4494
L1C_T53HPA_A009995_20190204T005513,S2B_MSIL1C_20190204T004709_N0207_R102_T53HPA_20190204T020630,GS2B_20190204T004709_009995_N02.07,53HPA,2019-02-04 00:57:05+00:00,,2019-02-04T02:06:30.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190204T004709_N0207_R102_T53HPA_20190204T020630.SAFE,770456919,24.8295
L1C_T53HPA_A018975_20190209T004703,S2A_MSIL1C_20190209T004701_N0207_R102_T53HPA_20190209T021458,GS2A_20190209T004701_018975_N02.07,53HPA,2019-02-09 00:57:02+00:00,,2019-02-09T02:14:58.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190209T004701_N0207_R102_T53HPA_20190209T021458.SAFE,824995328,50.5648
L1C_T53HPA_A010138_20190214T005415,S2B_MSIL1C_20190214T004709_N0207_R102_T53HPA_20190214T020753,GS2B_20190214T004709_010138_N02.07,53HPA,2019-02-14 00:57:05+00:00,,2019-02-14T02:07:53.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190214T004709_N0207_R102_T53HPA_20190214T020753.SAFE,730486990,73.2918
L1C_T53HPA_A019118_20190219T004607,S2A_MSIL1C_20190219T004611_N0207_R102_T53HPA_20190219T022111,GS2A_20190219T004611_019118_N02.07,53HPA,2019-02-19 00:57:01+00:00,,2019-02-19T02:21:11.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190219T004611_N0207_R102_T53HPA_20190219T022111.SAFE,820830027,44.3054
L1C_T53HPA_A010281_20190224T005306,S2B_MSIL1C_20190224T004709_N0207_R102_T53HPA_20190224T020938,GS2B_20190224T004709_010281_N02.07,53HPA,2019-02-24 00:57:04+00:00,,2019-02-24T02:09:38.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190224T004709_N0207_R102_T53HPA_20190224T020938.SAFE,582623120,0.0
L1C_T53HPA_A019261_20190301T004701,S2A_MSIL1C_20190301T004701_N0207_R102_T53HPA_20190301T021648,GS2A_20190301T004701_019261_N02.07,53HPA,2019-03-01 00:57:00+00:00,,2019-03-01T02:16:48.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190301T004701_N0207_R102_T53HPA_20190301T021648.SAFE,603497436,0.0
